community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster
community cluster 3348,"['fitting', 'influencer', 'comic', 'storyteller', 'shoesonfire', 'famous', 'fairytale', 'perfectfit']",10.0,-0.27272727272727265
community cluster 3349,"['heelerella', 'story', 'shoediary', 'shoesonfire', 'glass', 'yellowshoes']",10.0,-0.07407407407407401
community cluster 3350,"['yellowheels', 'yellowheel', 'heelsonfire', 'heels2020', 'yellowhighheels', 'newhighheels', 'highheels2020', 'yellowshoes']",11.0,0.023255813953488434
community cluster 3351,"['slowmo', 'slowmotion', 'splash', 'waterbomb', 'shoes2020', 'womenshoes', 'wasserbombe', 'yellowshoes']",9.0,-0.14285714285714285
community cluster 3352,"['video', 'cooloff', 'mesmerizing', 'shoechallenge', 'challengeyourself', 'challengeaccepted', 'waterchallenge', 'yellowshoes']",12.0,-0.5873983739837398
community cluster 3353,"['shoesoftheweek', 'digitalart', 'summertime', 'toohottohandle', 'meets', 'toohot', 'analogart', 'yellowshoes']",16.0,-0.21951219512195122
community cluster 3354,"['photoshoot', 'studioninprantner', 'graz', 'photography', 'summeroutfit', 'photoshooting', 'hours', 'yellowshoes']",33.0,-0.13793103448275865
community cluster 3355,"['shoeporn', 'streetwearfashion', 'ootd', 'shoegasm', 'ootdfashion', 'outfits', 'streetartphotography', 'yellowshoes']",14.0,-0.276923076923077
community cluster 3356,"['stars', 'outfitideas', 'star', 'styleblogger', 'outfitinspo', 'styleinspo', 'outfitpost', 'yellowshoes']",10.0,-0.33962264150943394
community cluster 3357,"['shoesofinsta', 'moon', 'shoefielicious', 'shoefiequeen', 'coolshoe', 'shoefie', 'tbt', 'yellowshoes']",15.0,-0.25
community cluster 3358,"['vatertag', 'shoestagrammer', 'shoefies', 'shoeaholic', 'fathersday', 'shoestylist', 'details', 'yellowshoes']",10.0,-0.18965517241379315
community cluster 3359,"['vatertag2020', 'modainsta', 'mode', 'bedifferent', 'style', 'fashion', 'fathersday2020', 'yellowshoes']",27.0,-0.17808219178082196
community cluster 3360,"['highheelslover', 'austrianblogger', 'highheel', 'highheelsaddiction', 'highlights', 'madeinitaly', 'designedinaustria', 'yellowshoes']",15.0,-0.2136986301369864
community cluster 3361,"['instashoes', 'pumpshoe', 'weekendmood', 'pumps', 'designed', 'pumpshoes', 'highquality', 'yellowshoes']",14.0,0.0357142857142857
community cluster 3362,"['instagramshoes', 'stylingshoes', 'myshoestoday', 'stylereport', 'stylishshoes', 'shoefilicious', 'shoesforwomen', 'yellowshoes']",9.0,-0.08000000000000007
community cluster 3363,"['goneswimming', 'fancyshoes', 'shoesofig', 'summervibes', 'shoefan', 'madeinitalyshoes', 'learntoswim', 'yellowshoes']",27.0,-0.053333333333333316
community cluster 3364,"['fashiongram', 'luxuryshoes', 'fashionshoes', 'newin', 'sapatilhalovers', 'shoesday', 'sneakerhead', 'yellowshoes']",11.0,-0.21538461538461545
community cluster 3365,"['sapatosfemininos', 'murinsel', 'trend', 'shoefreak', 'summer2020', 'watercooling', 'hothothot', 'yellowshoes']",10.0,-0.06382978723404259
community cluster 3366,"['worldsfirst', 'popuplab', 'explore', 'experience', 'niedagewesen', 'walking', 'gefühl', 'yellowshoes']",13.0,0.0
community cluster 3367,"['highheelsshoes', 'heelsaddict', 'heelslover', 'highheelsmurah', 'newstart', 'freshstart', 'heels', 'yellowshoes']",9.0,-0.05937499999999998
community cluster 3368,"['red', 'highheelmadness', 'statement', 'fashionlover', 'fashionstatement', 'streetfashion', 'redheels', 'yellowshoes']",13.0,-0.589041095890411
community cluster 3369,"['accessories', 'signalcolor', 'roteschuhe', 'redlove', 'redshoes', 'redhighheels', 'rotehighheels', 'yellowshoes']",11.0,-0.037037037037037104
community cluster 3370,"['uniquewomen', 'uniquejewelry', 'uniquewoman', 'style2020', 'styleinspo2020', 'unique', 'chaos', 'yellowshoes']",10.0,-0.054545454545454466
community cluster 3371,"['wien', 'lifeisbeautiful', 'newchapter', 'yellowshoes', 'lifeischange', 'goodtimes', 'newchallenge', 'newshoeintown']",25.0,-0.5871794871794872
community cluster 3372,"['newstyle', 'fashionstyle', 'newstory', 'yellowshoes', 'fashioninspo', 'dressup', 'fashionable', 'lifestyle']",16.0,-0.1
community cluster 3373,"['fridaymood', 'yellowshoes', 'feetup', 'idontgiveashit', 'instashoestyle', 'fridayfeet', 'feetupfriday', 'fridayfeeling']",10.0,-0.12307692307692321
community cluster 3374,"['winning', 'yellowshoes', 'footwearnews', 'blonde', 'spreadtheword', 'shoesfashionista', 'shooting', 'damenschuhe']",16.0,-0.3651960784313725
community cluster 3375,"['firstprize', 'spreadpositivity', 'together', 'share', 'win', 'winwinwin', 'spreadlove', 'yellowshoes']",22.0,-0.14285714285714285
community cluster 3376,"['teilenerwünscht', 'vote', 'diesteirerin', 'dicoverunder5k', 'vote2020', 'teilen', 'stadtgraz', 'yellowshoes']",16.0,-0.011494252873563177
community cluster 3377,"['passage', '2min2mio', 'shopping', 'zur', 'mut', 'latenight', 'latenightshopping', 'yellowshoes']",20.0,-0.262295081967213
community cluster 3378,"['shop', 'designshoes', 'größe', 'designforlife', 'shoeshop', 'shoplocal', 'discover', 'yellowshoes']",11.0,-0.27659574468085113
community cluster 3379,"['things', 'new', 'innovative', 'exclusive', 'shopdesign', 'research', 'project', 'yellowshoes']",12.0,-0.29166666666666663
community cluster 3380,"['insight', 'architecturelovers', 'shopdesigner', 'architecture', 'architecturelover', 'shopdesigns', 'insights', 'yellowshoes']",10.0,-0.32367149758454106
community cluster 3381,"['interiordesign', 'designlover', 'atnight', 'design', 'architecturedesign', 'industrialdesign', 'designinterior', 'yellowshoes']",13.0,0.010452961672473917
community cluster 3382,"['designboom', 'shoebrand', 'designers', 'brandnewshoes', 'designmilk', 'designerwear', 'dezeen', 'yellowshoes']",9.0,0.09090909090909081
community cluster 3383,"['noshoestoday', 'cinderella', 'influencer', 'cinderellastory', 'first', 'famous', 'fairytale', 'yellowshoes']",10.0,-0.12500000000000006
community cluster 3384,"['yellowheels', 'fitting', 'heelerella', 'yellowshoes', 'storyteller', 'comic', 'perfectfit']",11.25,-0.29411764705882354
community cluster 3385,"['yellowheels', 'yellowheel', 'heelsonfire', 'womenshoes', 'heels2020', 'yellowhighheels', 'newhighheels', 'highheels2020']",10.0,-0.10638297872340427
community cluster 3386,"['yellowheels', 'slowmo', 'slowmotion', 'splash', 'cooloff', 'waterbomb', 'shoes2020', 'wasserbombe']",10.0,-0.3731343283582089
community cluster 3387,"['yellowheels', 'video', 'mesmerizing', 'shoechallenge', 'toohottohandle', 'challengeyourself', 'challengeaccepted', 'waterchallenge']",13.0,-0.4683544303797469
community cluster 3388,"['yellowheels', 'shoesoftheweek', 'digitalart', 'summertime', 'meets', 'toohot', 'analogart', 'hours']",17.0,-0.3731343283582089
community cluster 3389,"['yellowheels', 'photoshoot', 'ootd', 'studioninprantner', 'photography', 'graz', 'summeroutfit', 'photoshooting']",38.0,-0.4683544303797469
community cluster 3390,"['yellowheels', 'shoeporn', 'streetwearfashion', 'outfitinspo', 'shoegasm', 'ootdfashion', 'outfits', 'streetartphotography']",11.0,-0.49397590361445787
community cluster 3391,"['yellowheels', 'moon', 'stars', 'outfitideas', 'star', 'styleblogger', 'styleinspo', 'outfitpost']",12.0,-0.4
community cluster 3392,"['shoesofinsta', 'yellowheels', 'shoefielicious', 'shoefiequeen', 'shoefies', 'coolshoe', 'shoefie', 'tbt']",15.0,-0.2
community cluster 3393,"['vatertag2020', 'yellowheels', 'vatertag', 'shoestagrammer', 'shoeaholic', 'shoestylist', 'details', 'fathersday']",11.0,-0.06249999999999997
community cluster 3394,"['yellowheels', 'modainsta', 'mode', 'bedifferent', 'style', 'austrianblogger', 'fashion', 'fathersday2020']",34.0,-0.43999999999999995
community cluster 3395,"['yellowheels', 'highheelslover', 'weekendmood', 'highheel', 'highheelsaddiction', 'highlights', 'madeinitaly', 'designedinaustria']",14.0,-0.45454545454545453
community cluster 3396,"['yellowheels', 'instashoes', 'pumpshoe', 'stylereport', 'pumps', 'designed', 'pumpshoes', 'highquality']",11.0,-0.3538461538461539
community cluster 3397,"['instagramshoes', 'yellowheels', 'stylingshoes', 'myshoestoday', 'stylishshoes', 'shoesofig', 'shoefilicious', 'shoesforwomen']",10.0,-0.12972972972972976
community cluster 3398,"['goneswimming', 'yellowheels', 'fancyshoes', 'summervibes', 'shoesday', 'shoefan', 'madeinitalyshoes', 'learntoswim']",28.0,-0.07792207792207796
community cluster 3399,"['sapatosfemininos', 'yellowheels', 'fashiongram', 'luxuryshoes', 'fashionshoes', 'newin', 'sapatilhalovers', 'sneakerhead']",12.0,0.0
community cluster 3400,"['worldsfirst', 'yellowheels', 'murinsel', 'trend', 'shoefreak', 'summer2020', 'watercooling', 'hothothot']",11.0,-0.014492753623188534
community cluster 3401,"['yellowheels', 'popuplab', 'explore', 'experience', 'niedagewesen', 'walking', 'gefühl', 'heels']",14.0,-0.31147540983606553
community cluster 3402,"['yellowheels', 'highheelsshoes', 'heelsaddict', 'highheelmadness', 'heelslover', 'highheelsmurah', 'newstart', 'freshstart']",10.0,-0.391304347826087
community cluster 3403,"['yellowheels', 'red', 'statement', 'fashionlover', 'fashionstatement', 'redlove', 'streetfashion', 'redheels']",14.0,-0.38235294117647056
community cluster 3404,"['yellowheels', 'accessories', 'signalcolor', 'roteschuhe', 'redshoes', 'redhighheels', 'rotehighheels', 'unique']",13.0,-0.3
community cluster 3405,"['yellowheels', 'uniquewomen', 'uniquejewelry', 'uniquewoman', 'style2020', 'styleinspo2020', 'chaos', 'newshoeintown']",10.0,-0.4246575342465754
community cluster 3406,"['yellowheels', 'wien', 'lifeisbeautiful', 'newchapter', 'lifeischange', 'goodtimes', 'newchallenge', 'lifestyle']",30.0,-0.40845070422535207
community cluster 3407,"['yellowheels', 'newstyle', 'fashionstyle', 'newstory', 'fashioninspo', 'dressup', 'fridayfeet', 'fashionable']",13.0,-0.38235294117647056
community cluster 3408,"['yellowheels', 'fridaymood', 'feetup', 'idontgiveashit', 'instashoestyle', 'feetupfriday', 'shoesfashionista', 'fridayfeeling']",11.0,-0.45454545454545453
community cluster 3409,"['yellowheels', 'winning', 'footwearnews', 'blonde', 'spreadtheword', 'winwinwin', 'shooting', 'damenschuhe']",18.0,-0.40845070422535207
community cluster 3410,"['yellowheels', 'firstprize', 'spreadpositivity', 'vote', 'together', 'share', 'win', 'spreadlove']",24.0,-0.4246575342465754
community cluster 3411,"['yellowheels', 'teilenerwünscht', '2min2mio', 'dicoverunder5k', 'diesteirerin', 'vote2020', 'teilen', 'stadtgraz']",19.0,-0.43999999999999995
community cluster 3412,"['yellowheels', 'passage', 'shopping', 'zur', 'mut', 'größe', 'latenight', 'latenightshopping']",17.0,-0.45454545454545453
community cluster 3413,"['yellowheels', 'new', 'shop', 'designshoes', 'designforlife', 'shoeshop', 'shoplocal', 'discover']",15.0,-0.36363636363636365
community cluster 3414,"['yellowheels', 'things', 'innovative', 'exclusive', 'shopdesign', 'shopdesigner', 'research', 'project']",10.0,-0.391304347826087
community cluster 3415,"['yellowheels', 'insight', 'architecturelovers', 'architecture', 'architecturelover', 'design', 'shopdesigns', 'insights']",13.0,-0.48148148148148145
community cluster 3416,"['interiordesign', 'yellowheels', 'designlover', 'atnight', 'designerwear', 'industrialdesign', 'designinterior', 'architecturedesign']",12.0,-0.040540540540540564
community cluster 3417,"['yellowheels', 'noshoestoday', 'designboom', 'shoebrand', 'designers', 'brandnewshoes', 'designmilk', 'dezeen']",10.0,-0.36363636363636365
community cluster 3418,"['yellowheels', 'cinderella', 'influencer', 'cinderellastory', 'storyteller', 'first', 'famous', 'fairytale']",11.0,-0.40845070422535207
community cluster 3419,"['yellowheels', 'heelerella', 'story', 'shoediary', 'glass', 'redheels', 'comic']",11.25,-0.29411764705882354
community cluster 3420,"['yellowheel', 'heelsonfire', 'firstprize', 'redhighheels', 'yellowhighheels', 'redheels']",11.25,-0.1468253968253968
community cluster 3421,"['firstprize', 'heels2020', 'redhighheels', 'yellowhighheels', 'newhighheels', 'highheels2020']",10.0,-0.32330827067669177
community cluster 3422,"['firstprize', 'womenshoes', 'heels2020', 'redhighheels', 'newhighheels', 'redheels', 'highheels2020']",11.25,-0.26530612244897955
community cluster 3423,"['slowmo', 'slowmotion', 'firstprize', 'shoes2020', 'redhighheels', 'redheels']",11.25,-0.25
community cluster 3424,"['slowmo', 'splash', 'waterbomb', 'firstprize', 'redhighheels', 'wasserbombe']",10.0,-0.3023255813953488
community cluster 3425,"['splash', 'cooloff', 'firstprize', 'waterbomb', 'redhighheels', 'wasserbombe', 'redheels']",11.25,-0.2912087912087911
community cluster 3426,"['video', 'mesmerizing', 'shoechallenge', 'firstprize', 'redhighheels', 'redheels']",12.5,-0.48581560283687947
community cluster 3427,"['shoechallenge', 'firstprize', 'challengeyourself', 'redhighheels', 'challengeaccepted', 'waterchallenge']",12.5,-0.08963585434173656
community cluster 3428,"['firstprize', 'toohottohandle', 'challengeyourself', 'redhighheels', 'challengeaccepted', 'redheels', 'waterchallenge']",13.5,-0.39097744360902253
community cluster 3429,"['digitalart', 'firstprize', 'meets', 'redhighheels', 'toohot', 'redheels']",11.25,-0.009740259740259907
community cluster 3430,"['summertime', 'lifeisbeautiful', 'firstprize', 'meets', 'goodtimes', 'redhighheels', 'analogart']",22.5,-0.29870129870129863
community cluster 3431,"['interiordesign', 'summertime', 'architecture', 'firstprize', 'stadtgraz', 'analogart', 'redheels', 'shooting']",30.0,-0.1547619047619048
community cluster 3432,"['summertime', 'explore', 'wien', 'austrianblogger', 'firstprize', 'redhighheels', 'photoshooting', 'redheels']",41.0,-0.34782608695652173
community cluster 3433,"['shoesoftheweek', 'firstprize', 'studioninprantner', 'redhighheels', 'redheels', 'hours']",11.25,-0.2118226600985222
community cluster 3434,"['new', 'firstprize', 'studioninprantner', 'graz', 'together', 'photography', 'redhighheels']",30.375,-0.5172413793103448
community cluster 3435,"['photoshoot', 'firstprize', 'photography', 'graz', 'redhighheels', 'summeroutfit', 'redheels']",34.875,-0.24812030075187966
community cluster 3436,"['2min2mio', 'shopping', 'austrianblogger', 'dicoverunder5k', 'latenight', 'stadtgraz', 'photoshooting', 'redheels']",30.0,-0.2676056338028168
community cluster 3437,"['ootd', 'firstprize', 'shoegasm', 'redhighheels', 'ootdfashion', 'summeroutfit']",20.0,-0.46031746031746035
community cluster 3438,"['shoeporn', 'ootd', 'firstprize', 'shoegasm', 'redhighheels', 'ootdfashion', 'redheels']",16.875,-0.1607142857142857
community cluster 3439,"['streetwearfashion', 'firstprize', 'redhighheels', 'redheels', 'outfits', 'streetartphotography']",11.25,-0.054621848739495736
community cluster 3440,"['outfitideas', 'firstprize', 'outfitinspo', 'redhighheels', 'outfitpost', 'outfits']",10.0,0.2163265306122448
community cluster 3441,"['outfitideas', 'styleblogger', 'firstprize', 'outfitinspo', 'redhighheels', 'outfitpost', 'redheels']",11.25,-0.2163265306122448
community cluster 3442,"['stars', 'star', 'firstprize', 'redhighheels', 'styleinspo', 'redheels']",12.5,-0.24242424242424238
community cluster 3443,"['moon', 'stars', 'firstprize', 'shoefie', 'redhighheels', 'tbt']",17.5,-0.36293436293436293
community cluster 3444,"['moon', 'firstprize', 'coolshoe', 'shoefie', 'tbt', 'redhighheels', 'redheels']",18.0,-0.38509316770186336
community cluster 3445,"['shoesofinsta', 'shoefielicious', 'firstprize', 'shoefiequeen', 'redhighheels', 'redheels']",11.25,-0.31428571428571433
community cluster 3446,"['firstprize', 'shoefiequeen', 'shoestagrammer', 'shoefies', 'shoeaholic', 'redhighheels']",10.0,-0.24369747899159658
community cluster 3447,"['firstprize', 'shoestagrammer', 'shoefies', 'shoeaholic', 'shoestylist', 'redhighheels', 'redheels']",11.25,-0.18796992481203006
community cluster 3448,"['vatertag', 'firstprize', 'redhighheels', 'win', 'details', 'redheels']",21.25,-0.2192691029900332
community cluster 3449,"['vatertag2020', 'firstprize', 'redhighheels', 'redheels', 'fathersday2020', 'fathersday']",11.25,-0.10714285714285714
community cluster 3450,"['mode', 'style', 'firstprize', 'redhighheels', 'fashion', 'fathersday2020']",32.5,-0.4684385382059801
community cluster 3451,"['modainsta', 'mode', 'wien', 'style', 'firstprize', 'spreadtheword', 'fashion', 'redheels']",39.0,-0.11475409836065564
community cluster 3452,"['modainsta', 'bedifferent', 'austrianblogger', 'firstprize', 'redhighheels', 'shooting']",25.0,-0.22857142857142856
community cluster 3453,"['bedifferent', 'austrianblogger', 'firstprize', 'redhighheels', 'madeinitaly', 'redheels', 'designedinaustria']",18.0,-0.07259953161592499
community cluster 3454,"['new', 'highheelslover', 'firstprize', 'weekendmood', 'highheel', 'highheelsaddiction', 'highlights', 'designedinaustria']",16.0,-0.6016260162601625
community cluster 3455,"['highheelslover', 'highheel', 'highheelsaddiction', 'highlights', 'redhighheels', 'redheels']",10.0,0.10312500000000002
community cluster 3456,"['instashoes', 'firstprize', 'weekendmood', 'highheelsaddiction', 'redhighheels', 'win', 'highquality']",22.5,-0.2412177985948477
community cluster 3457,"['instashoes', 'firstprize', 'weekendmood', 'pumps', 'redhighheels', 'designed', 'highquality', 'redheels']",16.0,-0.11475409836065564
community cluster 3458,"['pumpshoe', 'stylereport', 'firstprize', 'pumps', 'redhighheels', 'pumpshoes']",11.25,0.004444444444444429
